,Name,Rating,Adjusted Rating,Games
687,josiah mckinney,136.51441927882422,134.688698314883,38
880,brendan ferreira,134.4007834706817,134.4007834706817,119
805,christian bennett,134.337048067609,134.337048067609,146
630,garrett hornok,135.75099007105084,134.00703933587764,39
61,connor nelson,133.95476231919608,133.95476231919608,121
1145,malachi espinola,133.88684819818812,133.88684819818812,52
20,josh fragiacomo,133.83956105537027,133.83956105537027,143
611,cade larson,133.66539966634681,133.66539966634681,132
622,kieran rose,133.49989390009023,133.49989390009023,210
207,mitchell whelan,133.381607767751,133.381607767751,55
710,kyle fowler,133.30053910554548,133.30053910554548,96
666,jack bushart,133.09065421211645,133.09065421211645,88
65,ryan oswalt,133.01865606267535,133.01865606267535,58
691,jenson miller,132.90540969304405,132.90540969304405,107
314,fabian claus,132.4630441577454,132.4630441577454,53
675,andrew sullivan,132.41196665609073,132.41196665609073,129
84,joseph kaylor,132.36243446824466,132.36243446824466,87
610,matthew burrows,132.342236875283,132.342236875283,170
389,yanis bouchemoua,132.3288652516357,132.3288652516357,72
973,tyler babin,132.25683673098365,132.25683673098365,99
839,sam kilinski,136.45618748172194,132.16722424857818,30
509,jared beaufait,132.00480995448143,132.00480995448143,82
672,neal bergman,131.8243852764699,131.8243852764699,85
212,corey weiss,131.81174985977646,131.81174985977646,98
883,sean brown,131.7416534914473,131.7416534914473,78
2086,andrew greer,138.45002713713328,131.66472823058035,28
603,luke mowry,131.55423919249202,131.55423919249202,79
400,amrit hingorani,131.38591499745078,131.38591499745078,82
2083,jake lebaron,135.37520162986945,131.33232144359866,31
1652,jakub popluhar,131.29725618732087,131.29725618732087,50
1138,carlin vicera,143.3256080546023,131.1402807892454,23
826,tommy drake,131.0798576756553,131.0798576756553,74
307,stefan handschmann,130.85005602803682,130.85005602803682,77
339,raffael jonas,132.37896403650535,130.674808034584,36
564,chase meyer,130.54194652651108,130.54194652651108,83
812,kyle ackermann,130.31494811826332,130.31494811826332,53
1230,jacob arzaga,130.96016159072406,130.25652155457124,43
712,lindros beard,130.17750172609303,130.17750172609303,67
17,trevor barbosa,129.7431761984672,129.7431761984672,121
539,hayden flood,132.24010038373123,129.62603819045572,34
323,matias bermejo pasetti,129.59345048895193,129.59345048895193,65
1583,scott beeks,129.50398118225849,129.50398118225849,58
1468,caleb white,129.88848294868959,129.19340194988285,42
294,benjamin bachler,128.9977970712892,128.9977970712892,60
369,samy caux-ramon,128.9610986830158,128.9610986830158,48
1581,erwan chapeliere,129.584420592445,128.86284935848295,40
665,nick evanko,128.82896389087145,128.82896389087145,91
249,demitri forand,128.693400510141,128.693400510141,87
704,michael barkman,128.53321246590792,128.53321246590792,86
250,jake mottershead,128.48168218595316,128.48168218595316,55
1398,maxwell gunneson,128.301161608494,128.301161608494,64
1039,chris brown,128.29467103181875,128.29467103181875,99
1069,olivier laurin,130.83663778546907,128.2669179700133,33
1,jacob payer,128.10092367466217,128.10092367466217,131
25,kyan kornfeld,127.95986348040684,127.95986348040685,106
634,patric chu,127.75768293371499,127.75768293371497,95
350,emil gronebaum,131.41099229686546,127.7155814384107,30
351,rasmus prufer,131.41099229686546,127.7155814384107,30
604,nick noguez,127.71182658450546,127.71182658450546,64
671,chris wilkins,127.70855606876367,127.70855606876366,76
673,caleb shorter,127.68219701179551,127.68219701179551,110
