Name,Rank,Change,Rating,Wins,Losses,Tournaments,Avg Partner Rating,Avg Opp Rating
CHOU PO-JUI,127,1,119.05,18,12,2,119.05,114.33
RYAN BENZ,129,9,119,17,7,2,118.52,106.14
ARTIE SINGER,130,49,118.91,22,12,3,126.52,112.02
CORY CHILTON,131,3,118.84,8,9,2,114.09,120.24
ETHAN MCWHIRTER,132,38,118.48,10,17,3,127.38,125.46
JACKSON BLACKBURN,133,8,118.04,9,11,2,109.73,122.49
BRYANT KARRATTI,134,5,117.99,15,15,3,122.87,119.49
DREW CUMMINS,135,2,117.89,12,15,3,114.13,120.39
JAKE MOTTERSHEAD,136,1,117.84,31,25,6,114.94,113.96
SLADE WARNER,137,14,117.49,11,17,3,114.5,122.76
TREVOR SLAUGHTER,138,8,117.49,8,11,2,113.66,121.52
SAMUEL COREY,139,1,117.36,61,68,13,113.35,119.91
CHARLIE CAMARENA,140,22,117.27,27,21,5,117.12,112.63
JOEY REYNOLDS,141,19,117.26,40,26,6,117.14,108.86
DENNIS JOSEPH,142,9,117.26,35,29,7,120.86,114.82
JOSEPH KAYLOR,143,9,117.2,34,21,5,114.84,109.37
NATHANIEL SCHRAG,144,5,117.15,8,10,2,126.41,118.47
ETHAN ZEHR,145,5,117.01,31,33,6,116.14,117.87
CLIFFORD AMADEO LEVEQUE,146,15,116.88,34,25,5,114.35,114.37
ANDREW KOSCHE,147,--,116.66,33,34,7,119.74,118.21
JOSH ESPOSO,148,--,116.53,41,50,9,118.41,120.98
LUKE NICKEL,149,5,116.39,15,21,4,116.39,121.65
CODY DRYER,149,5,116.39,15,21,4,116.39,121.65
FRANZ CASTILLO,151,8,116.06,8,9,2,120.98,118.37
ERIK FAEUSTLE,152,6,116.02,15,17,3,110.48,117.77
CARLIN VICERA,153,157,116.01,17,12,2,116.23,111.49
JOHN CHOI,154,3,115.91,20,23,4,114.47,118.33
LINDROS BEARD,155,11,115.75,21,18,4,112.8,113.27
ALEX NEWTON,156,--,115.66,19,11,3,106.48,108.48
JACOB ARZAGA,157,11,115.6,34,29,7,109.06,115.01
MAXWELL GUNNESON,158,27,115.24,25,24,5,113.91,115.79
RYAN MCCARGAR,159,6,115.15,12,19,3,117.17,122.14
ADAM PORTER,160,23,115.08,48,45,9,111.45,115.88
COLE MADDOX,161,8,114.98,25,26,6,120.58,115.45
ANDREW RABER,162,2,114.86,23,28,6,112.91,119.22
GAVIN BROEKEMA,163,7,114.6,37,20,5,113.73,104.5
JAKE WOOLLEY,164,9,114.43,20,15,3,111.29,110.46
SAM KILINSKI,165,9,114.37,14,9,2,106.44,107.41
BENJAMIN BUNZE,166,6,114.29,20,29,5,108.38,120.4
TIM LACAGNINA,167,20,114.17,28,30,7,112.49,115.72
RYAN LEONG,168,9,114.08,8,8,2,114.08,114.92
SASHA MARINIUK,168,9,114.08,8,8,2,114.08,114.92
CONNOR PRELICH,170,25,113.98,28,29,6,115.97,116.26
BEN SAVAGE,171,17,113.95,17,20,3,116.26,114.76
THOMAS HOFFMAN,172,28,113.81,48,36,7,115.05,110.06
ANDY TROWER,173,9,113.74,22,14,3,114.6,106.58
JOSH HUTKO,174,27,113.06,44,58,10,110.94,117.82
SAMUEL DAVIS,175,1,113.02,10,11,2,108.41,114.31
GRAYSON M WILLS,176,10,112.95,46,46,9,122.99,113.22
LIAM SHERRON,177,8,112.21,33,38,8,116.05,115.98
JAMES LAMKIN,178,13,112.2,19,22,4,113.41,113.34
KYLE FOWLER,179,5,112.19,41,30,7,109.28,108.24
ROHIL SENAPATI,180,19,112.09,20,8,2,100.49,98.1
JAMES RICHMOND,181,8,111.97,15,15,3,110.34,113.67
CHRISTIAN HILL,182,74,111.96,26,24,4,111.7,111.34
THOMAS ESTELLA,183,12,111.93,14,9,2,113.48,105.3
ZACH SNOVER,184,25,111.8,7,10,2,111.51,117.05
DAN BONOWSKI,185,70,111.79,16,15,3,114.59,114.2
NATE KT,186,4,111.75,14,19,4,116.66,118.12
MICHAEL DU,187,6,111.71,48,54,12,113.76,113.84
JACK STINSON,188,14,111.68,7,11,2,107.91,118.73
JOSHUA HACHEY,189,45,111.59,16,21,4,113.44,115.75
TY FIELDS,190,8,111.51,22,10,3,105.83,98.78
RYAN BAILLARGEON,191,1,111.5,11,6,2,115.26,106.49
SAM BUNZE,192,12,111.29,20,29,5,108.39,118.36
WARNER CURTIS,193,10,111.27,16,25,4,113.17,118.44
JACK W,194,12,111.27,13,16,3,116.62,116.19
ZACHARY TROYER,195,44,111.25,29,15,4,103.47,100.29
ZAK KOVATCH,196,16,111.09,13,6,2,107.19,98.4
MIKE GARRETT,197,22,111.05,26,32,6,114.44,114.03
PATRICIO DURAN,198,15,110.95,21,10,2,109.74,99.19
