,Name,Rating,Adjusted Rating,Games
1218,ryan harrison,100.10079404498666,100.03275806462065,13
1217,cesare scarpone,100.10079404498666,100.03275806462065,13
888,tommy richard,100.17762978088166,100.02732765859719,8
2158,peter hart,100.08306011233857,100.02431027678203,12
2157,korven whittier,100.08306011233857,100.02431027678203,12
2081,david mitchell,100.05379883124942,100.02391059166641,16
1961,grant stewart,100.74201355851812,100.01787984478356,2
1962,max neff,100.74201355851812,100.01787984478356,2
1966,ryan cole,100.67601793948869,100.01628958890335,2
1967,sam parsons,100.67601793948869,100.01628958890335,2
1975,matt morelli,100.10413426908688,100.0160206567826,8
1991,brian hall,100.08624304769782,100.01584055978122,9
2077,daniel blodgett,100.02370898236833,100.00435471104724,9
2078,luke freimanis,100.02370898236833,100.00435471104724,9
1154,adam randall,99.94170477166543,99.98105405079127,13
1818,desmond benton,99.76103734861452,99.96323651517147,8
1757,tomer zholkovsky,99.88368355270714,99.94830380120317,16
1758,rotem kimhi,99.88368355270714,99.94830380120317,16
1271,ryan poeppelman,99.75745575564757,99.94727299035817,10
2097,joseph barron,99.7654269059298,99.94135672648245,11
2096,brady price,99.7654269059298,99.94135672648245,11
1308,simon swain,99.7805189900797,99.93576165563307,12
1307,olivier barsalou,99.7805189900797,99.93576165563307,12
1881,michael zagone,99.89814698384113,99.93209798922743,22
1920,joey battle,99.57960360376008,99.9227843353845,9
1877,tyler montgomery,98.5820754453386,99.91897573973364,4
1876,luke gasque,98.5820754453386,99.91897573973364,4
1960,robert isaacs,96.47999833193347,99.9151806826972,2
1959,jeff hermsen,96.47999833193347,99.9151806826972,2
1994,stephen mayfield,99.42001090914084,99.91077090909859,8
1993,joshua mayfield,99.42001090914084,99.91077090909859,8
2210,noel svensson,99.07877333546374,99.90787733354637,6
1558,henry switz,99.86885852493766,99.90462438177285,24
934,grace o'connor,99.50059663487758,99.89143405106033,10
563,hudson sullivan,98.90858429018576,99.89085842901858,6
1397,maxwell riseman,99.87641863246888,99.88671707976314,33
1599,kari kylainpaa,99.86046884513081,99.87641526283014,31
1113,conor hoyne,98.64019384864359,99.86401938486436,6
1114,fletcher b,98.64019384864359,99.86401938486436,6
2194,caleb wong,99.73331211581883,99.85881229660997,18
2015,will parsons,98.57323610911733,99.85732361091173,6
2014,brian hutton,98.57323610911733,99.85732361091173,6
1984,joshua deutsch,98.83225363042037,99.85403170380255,7
45,lucian himes 'student',99.05089991842121,99.85398460283403,8
2306,maxime betton,99.59889118670408,99.85222306878572,14
2305,antoine pechard,99.59889118670408,99.85222306878572,14
1963,chris strite,97.27147890545275,99.84408450888301,4
945,andrey andriyevskiy,99.71414017671408,99.83541404113842,19
946,luke little,99.71414017671408,99.83541404113842,19
1941,daniel stauffer,99.34034033906876,99.83508508476717,11
1942,franklin stauffer,99.34034033906876,99.83508508476717,11
2168,derrick chen,98.3245018979849,99.8324501897985,6
2169,rohan sachdeva,98.3245018979849,99.8324501897985,6
1253,hayden carlson,99.57456129381863,99.82752484884539,15
1992,ryan beckwith,98.8385279942436,99.8213119991144,8
277,riley nassour,99.81712441114986,99.82118831312431,44
1539,nathaniel suryabudi,99.28245018045564,99.8206125451139,11
1538,jonathan guo,99.28245018045564,99.8206125451139,11
