,Name,Rating,Adjusted Rating,Games
72,garrett carver,126.4953390556017,126.4953390556017,111
1461,jerry lee,127.13147777976121,126.48549021357643,41
848,jakub visek,126.32734297893661,126.32734297893661,56
728,kaleb wagner,126.29958752328115,126.29958752328115,55
776,lucas hope,126.16179828474317,126.16179828474316,47
752,max fiebelkorn,126.00495760543282,126.00495760543282,73
390,adam porter,125.99102290423345,125.99102290423345,92
304,carlin vicera,125.9636925036257,125.9636925036257,91
271,esaja ekman,126.46380684113726,125.88850669241688,45
199,benjamin bunze,125.81549312269273,125.81549312269273,61
590,chris wilkins,125.79739048848747,125.79739048848745,73
443,eisentrager lukas,125.76592397270052,125.76592397270052,51
12,alex newton,125.76482098773938,125.76482098773937,51
579,jared bingham,125.74116842843237,125.74116842843237,55
1131,jacob payer,125.72769595075498,125.72769595075498,132
1267,ethan zehr,125.6319359020195,125.63193590201952,75
1401,charlie camarena,125.5757957671613,125.5757957671613,47
1745,john choi,126.1798595034174,125.57102556147747,42
374,coleman epperson's,125.47408279498472,125.47408279498472,65
208,brian perlson,125.40391776968278,125.40391776968278,95
602,jaroslav cabala,125.29630947236173,125.29630947236173,62
565,ben pernfuss,125.23511917828377,125.23511917828377,61
560,sam bunze,125.18659689752486,125.18659689752486,54
839,stefan handschmann,125.1763405193454,125.1763405193454,74
595,brycen patterson,125.72148192467131,125.16231927413497,45
80,tyler cisek,139.44615732335095,125.10210011485971,21
567,joshua hachey,125.08294600511326,125.08294600511326,88
118,nickhil anantha,125.04709982747814,125.04709982747814,63
1236,erik borja forschner mitre,126.30446293698712,125.02131840347556,39
492,julian krehle,125.38346183309756,124.7790936942143,41
222,josh hutko,124.7508524932933,124.75085249329328,102
180,nick noguez,124.65279253231917,124.65279253231917,59
401,bryant karratti,124.64218037618555,124.64218037618556,87
729,jackson blackburn,127.61482917598126,124.54651482309444,32
411,rendall weaver,124.49743299330406,124.49743299330406,58
512,jake lebaron,124.45940987862367,124.45940987862367,89
1838,gavin broekema,124.37845013004879,124.37845013004878,80
2097,andrew gunter,125.64493103197118,124.32980636366497,37
1080,luc moor,125.4912726602333,124.21670902722164,38
404,maxime prince,124.20534533128946,124.20534533128946,54
316,taylor church,124.0316732098496,124.0316732098496,118
1739,ezra dantowitz,124.55266330175215,123.99464822671233,43
1116,peer kanis,125.25732123719735,123.99445517533748,38
585,a.j. martin,123.84027494146845,123.84027494146846,76
533,andrew kosche,123.79006438802064,123.79006438802064,80
245,thomas hoffman,123.77480921010451,123.77480921010451,118
2615,dorian ameziane,123.74627377256255,123.74627377256255,49
897,matt spolarich,123.73517888919346,123.73517888919346,107
1481,christian hill,123.7308007555037,123.73080075550368,47
1922,garrett hornok,124.87890840135421,123.6349629812865,38
869,reilly paquette,123.54928662460902,123.54928662460902,51
1932,joel lapp,130.8888367342944,123.40063388961696,25
355,ben savage,123.3040056792366,123.30400567923661,75
517,davis jung,123.21087052352485,123.21087052352485,50
272,ondrej cejka,123.18298673311374,123.18298673311374,53
612,kyle fowler,123.10169339172944,123.10169339172946,94
971,joey maichen,123.05696842117604,123.05696842117604,50
366,ely marciano,123.481610455147,122.9711406626438,45
633,grayson m wills,122.9285267459426,122.9285267459426,86
1006,tim lacagnina,122.88170830707604,122.88170830707604,81
738,sam kilinski,127.73279034151012,122.83876851653774,28
784,trevor clements 704trev,124.04001340023389,122.8071922002219,37
1130,garrett ashton,122.65875140872849,122.65875140872849,60
578,benjamin banuelos,124.64310243414852,122.64501304759594,34
1516,erwan chapeliere,123.83796309006259,122.61550344441835,37
883,nicholas puopolo,122.47031575148036,122.47031575148037,106
1021,dylan medveal,122.45473197421053,122.45473197421053,51
127,caleb shorter,122.38185853605708,122.38185853605708,102
821,bram declercq,122.87299308478937,122.36470434957184,44
1008,cedric widin,122.34381132460253,122.34381132460253,62
1049,cody brower,122.27534370947839,122.27534370947839,49
1663,dean wasil,122.26963131467382,122.26963131467382,59
1164,chase meyer,122.2371002866883,122.23710028668829,80
823,josiah hoeppner,123.19126230366092,122.05998121567747,39
162,rob's traveler,122.04574690309775,122.04574690309775,67
1560,auxence clark,122.58129468266281,122.03053139771981,40
581,benjamin bachler,121.86602584576227,121.86602584576227,58
2549,brian childs,127.69483606237426,121.82017386732518,26
1002,tom hullot,121.74475668178088,121.74475668178088,47
361,max huang,121.68891398098803,121.68891398098803,68
1735,charles tipton,126.3284724920445,121.68227146403666,28
58,josha lauterbach,122.77956447469013,121.64058625095564,38
536,lucas pruett,121.63701398633782,121.6370139863378,77
1381,james richmond,121.93141502256971,121.40923847441329,41
1702,stephen sweeney,122.465098056558,121.36923961477468,39
609,josh esposo,121.32842614978561,121.32842614978561,94
223,quinn hufler,123.1436525151768,121.26714014908137,34
310,conner bradshaw,122.41049043305868,121.23099093658192,36
727,matias bermejo pasetti,121.18831571324327,121.18831571324327,60
1519,mike garrett,121.18376839867001,121.18376839867001,53
741,shane soto,121.13897466815149,121.1389746681515,70
854,brody ulrich,120.98778030981285,120.98778030981285,62
200,nate kt,121.40192245413103,120.92632417737255,44
305,will ries,120.86900968874086,120.86900968874086,48
705,andrew greer,120.84789460242176,120.84789460242176,108
1685,ryan fernandez,121.91675686420295,120.84764677326623,39
1159,kevin um,120.82956464837584,120.82956464837584,59
89,clifton miller,120.62884179716538,120.62884179716536,75
1677,joey reynolds,120.61839709606421,120.61839709606421,63
490,mathias gangkofner,120.60058970997358,120.60058970997358,52
2107,colin hobart,121.06387489212516,120.58515046275869,43
558,gabriel stoisser,120.57972602565886,120.57972602565886,78
2087,donald fung,124.08960969997149,120.54702003821097,29
1246,erik faeustle,123.26791076108599,120.53050949507588,30
407,leonardo tullo,120.33610939166819,120.3361093916682,80
914,kyle ackermann,120.27452728848141,120.27452728848141,48
1081,pierre lecrosnier,120.20616916031202,120.20616916031202,94
449,caleb white,120.11317881173514,120.11317881173515,48
853,dennis joseph,120.10522833157526,120.10522833157526,76
1082,victor cambois,119.98061353022615,119.98061353022614,71
1698,brandon arledge,119.97294070430873,119.97294070430873,58
279,lindros beard,119.95274319252104,119.95274319252104,65
347,derek mcrea,119.9254919514397,119.9254919514397,71
126,skyler sebring,119.87017391270476,119.87017391270476,85
1166,seth holbrook,119.6717197178701,119.6717197178701,47
1487,michele berlanda,119.66689890904475,119.66689890904475,54
1182,yosha vandaele,119.65614076957011,119.65614076957011,56
