Team 1,Team 2,Round,Tournament,Team 1 Scores,Team 2 Scores,Division
Bootycheeks,Low Expectations,Third Place,long-island-classic-2023,"[0, 0]","[1, 1]",Contender (4.5)
Chicken Wing,Wild Westchester Sharpshooters,P5: Semi-finals,long-island-classic-2023,"[-1, -1, -1]","[-1, -1, -1]",Contender (4.5)
Buffet?,Laf Spikes,P5: Semi-finals,long-island-classic-2023,"[-1, -1, -1]","[-1, -1, -1]",Contender (4.5)
Slammo Gods,Out spin the pocket,P9: Quarter-finals,long-island-classic-2023,"[10, 5]","[15, 15]",Contender (4.5)
Can't believe it's not butter,tweeners?,P9: Quarter-finals,long-island-classic-2023,"[-1, -1, -1]","[-1, -1, -1]",Contender (4.5)
Pigeon,Beefcakes,P9: Quarter-finals,long-island-classic-2023,"[0, 0]","[1, 1]",Contender (4.5)
Happy Heffalumps,Ryde or Di,P9: Quarter-finals,long-island-classic-2023,"[-1, -1, -1]","[-1, -1, -1]",Contender (4.5)
Fresh Cuts,:->,P17: Round of 16,long-island-classic-2023,"[1, 1]","[0, 0]",Contender (4.5)
Big Duck Roundnet,Mr. Mackey’s Mmkays,P17: Round of 16,long-island-classic-2023,"[-1, -1, -1]","[-1, -1, -1]",Contender (4.5)
Academic Integrity,Straw Hat Pirates,P17: Round of 16,long-island-classic-2023,"[-1, -1, -1]","[-1, -1, -1]",Contender (4.5)
BDR Two Pump Chumps,Naughty Naughty,P17: Round of 16,long-island-classic-2023,"[-1, -1, -1]","[-1, -1, -1]",Contender (4.5)
Lamontagne/Wanderer,Harold and Kumar,P17: Round of 16,long-island-classic-2023,"[-1, -1, -1]","[-1, -1, -1]",Contender (4.5)
I like oreos,The Last Dance,P17: Round of 16,long-island-classic-2023,"[-1, -1, -1]","[-1, -1, -1]",Contender (4.5)
Borderline Misconduct,The Jungle Boys,P17: Round of 16,long-island-classic-2023,"[-1, -1, -1]","[-1, -1, -1]",Contender (4.5)
Hamblet/Gao,Chaos Wizards,P17: Round of 16,long-island-classic-2023,"[-1, -1, -1]","[-1, -1, -1]",Contender (4.5)
Crestwood's Finest,Loopy Juice,Round of 16,long-island-classic-2023,"[21, 21]","[10, 17]",Advanced (4.0)
Hit and Run,The Soaring Riegels,Round of 16,long-island-classic-2023,"[21, 21]","[10, 9]",Advanced (4.0)
aced and confused,Galaticos,Round of 16,long-island-classic-2023,"[21, 21]","[6, 13]",Advanced (4.0)
Panda,Amateur Hitmen,Round of 16,long-island-classic-2023,"[1, 1]","[0, 0]",Advanced (4.0)
Will-DUH-beasts,Jabronis,Round of 16,long-island-classic-2023,"[21, 14, 19]","[15, 21, 21]",Advanced (4.0)
Gonne Spikin',Dirty Mike and the Boys,Round of 16,long-island-classic-2023,"[21, 21]","[13, 17]",Advanced (4.0)
Shanghai Sharks,East End Boys,Round of 16,long-island-classic-2023,"[21, 21]","[7, 11]",Advanced (4.0)
Pulchritudinous Callipygians,Crestwood's Finest,Quarter-finals,long-island-classic-2023,"[21, 21]","[16, 15]",Advanced (4.0)
Hit and Run,aced and confused,Quarter-finals,long-island-classic-2023,"[16, 21, 19]","[21, 19, 21]",Advanced (4.0)
Panda,Jabronis,Quarter-finals,long-island-classic-2023,"[21, 21]","[9, 5]",Advanced (4.0)
Gonne Spikin',Shanghai Sharks,Quarter-finals,long-island-classic-2023,"[21, 21]","[15, 18]",Advanced (4.0)
